ID	Path
0	/Interface/TitleScreen/objTitleScreen
3	/Interface/TitleScreen/objPalmTree
4	/Interface/TitleScreen/objHouses
5	/Editor/objEditor
6	/Interface/objBackgroundColor
7	/Editor/objEditorWallH
8	/Editor/objEditorWallV
9	/Editor/objWall
10	/Editor/objEditorEnemy
11	/Editor/objEditorObjects
12	/Editor/objCheckbox
13	/Editor/objButtons
14	/Interface/Act/objAct
16	/Interface/Act/objFlock2
19	/Interface/Scene/City/objBloodDraw
20	/Interface/Scene/City/objTextBlood
21	/Interface/Scene/City/objPalmTrees
22	/Interface/Scene/City/objSeaGlimmer
23	/Interface/Scene/City/objSkyline1
24	/Interface/Scene/City/objSkyline2
25	/Editor/objEditorDoorV
26	/Editor/objEditorDoorH
27	/Editor/objEditorWindowLeft
28	/Editor/objEditorWindowRight
29	/Editor/objEditorWindowUp
30	/Editor/objEditorWindowDown
31	/Editor/objEditorBrickWallV
32	/Editor/objEditorBrickWallH
33	/Editor/objEditorSoftWallV
34	/Editor/objEditorSoftWallH
35	/Player/PigButcher/objPigButcher
36	/Player/objPlayer
37	/Interface/objConversation
38	/Interface/objEffector
39	/Furniture/objFurniture
40	/Enemies/Victims/objVictim1
41	/Enemies/Victims/objVictim3
42	/Enemies/Victims/objVictim2
43	/Misc/LightSmoke/objPiglight1
44	/Effects/Blood/objSplat
45	/Interface/objGore
46	/Effects/Blood/objSmudge
47	/Effects/Blood/objBigBlood
48	/Effects/Blood/objTinyBlood
49	/Effects/Blood/objBlood
50	/Enemies/objEnemy
51	/Enemies/objDeadBody
52	/Effects/Blood/objBloodPool
53	/Editor/sprEditorRailsLeft
54	/Editor/objEditorRailsRight
55	/Editor/objEditorRailsDown
56	/Editor/objEditorRailsUp
57	/Furniture/PigButcher/Party/objCouchParty
58	/Furniture/PigButcher/Party/objMiscKeg
59	/Furniture/PigButcher/Party/objAquariumParty
60	/Furniture/PigButcher/Party/objTableParty
61	/Furniture/PigButcher/Party/objTableKitchenParty
62	/Furniture/PigButcher/Party/objTableBrokenParty
63	/Furniture/objSinkParty
64	/Furniture/PigButcher/Party/objStrollerParty
65	/Furniture/objToiletParty
66	/Furniture/objTubParty
67	/Furniture/PigButcher/Party/objTVTableParty
68	/Furniture/PigButcher/Party/objRecordPlayerParty
69	/Furniture/objBenchPorchParty
70	/Furniture/objWheelBarrowParty
71	/Furniture/objCounterKitchen
72	/Furniture/objCupboardKitchen
73	/Furniture/objSink
74	/Furniture/objFridge
75	/Furniture/PigButcher/Party/objStoveParty
76	/Interface/objPigBackground
77	/Interface/objFilmTitle
78	/Enemies/Victims/objVictim3KnockedOut
79	/Furniture/Floor/objBrokenVinyls
80	/Enemies/objKnockedOut
81	/Player/PigButcher/objPigKillBlunt
82	/Effects/Blood/objBloodSquirt
83	/Misc/Weapons/objBat
84	/Furniture/objSolid
85	/Player/objPlayerDead
86	/Furniture/objTrashbagOpen
87	/Furniture/objTrashbag
88	/Furniture/Floor/objPizza
89	/Furniture/Floor/objDoorMat
90	/Furniture/objHatRack
91	/Furniture/Floor/objCigaretteButts
92	/Furniture/Floor/objAlcoholContainers
93	/Furniture/PigButcher/Party/objDeskParty
94	/Furniture/Floor/objVideoGames
95	/Furniture/PigButcher/Party/objGlobe
96	/Furniture/PigButcher/Party/objBoxes
97	/Furniture/objPhones
98	/Furniture/objBookshelf
99	/Furniture/objToolbox
100	/Misc/Weapons/objShotgunWall
101	/Editor/objEditorPorchWallV
102	/Editor/objEditorPorchWallH
103	/Furniture/objChairWood
104	/Furniture/objArmChair
